# Time alpha-glucose beta-glucose O2 delta-glucose H2O2
1.782000000000000000e+04 2.838370176673485519e-03 3.196052500224675925e-03 6.034422676898102030e-03 4.939655773231019231e-01 4.939655773231019231e-01
1.784000000000000000e+04 2.832520534264103707e-03 3.191200691220532140e-03 6.023721225484577300e-03 4.939762787745154426e-01 4.939762787745154426e-01
1.786000000000000000e+04 2.826686635195611516e-03 3.186370298477824489e-03 6.013056933673376590e-03 4.939869430663266781e-01 4.939869430663266781e-01
1.788000000000000000e+04 2.820868504725780948e-03 3.181561089090163049e-03 6.002429593815885450e-03 4.939975704061841388e-01 4.939975704061841388e-01
1.790000000000000000e+04 2.815070588576379720e-03 3.176767007247478704e-03 5.991837595823799878e-03 4.940081624041762209e-01 4.940081624041762209e-01
1.792000000000000000e+04 2.809294116691955952e-03 3.171986245559924294e-03 5.981280362251821699e-03 4.940187196377482381e-01 4.940187196377482381e-01
1.794000000000000000e+04 2.803539032398977456e-03 3.167218694509945070e-03 5.970757726908863978e-03 4.940292422730911959e-01 4.940292422730911959e-01
1.796000000000000000e+04 2.797805278301141244e-03 3.162464246225381043e-03 5.960269524526463740e-03 4.940397304754735597e-01 4.940397304754735597e-01
1.798000000000000000e+04 2.792092796279376562e-03 3.157722794479467417e-03 5.949815590758785432e-03 4.940501844092412553e-01 4.940501844092412553e-01
1.800000000000000000e+04 2.786401527491841421e-03 3.152994234690834584e-03 5.939395762182617458e-03 4.940606042378173912e-01 4.940606042378173912e-01
1.802000000000000000e+04 2.780731412373925199e-03 3.148278463923508130e-03 5.929009876297374783e-03 4.940709901237026469e-01 4.940709901237026469e-01
1.804000000000000000e+04 2.775082390638246906e-03 3.143575380886908834e-03 5.918657771525097193e-03 4.940813422284749401e-01 4.940813422284749401e-01
1.806000000000000000e+04 2.769454401274657786e-03 3.138884885935852229e-03 5.908339287210451034e-03 4.940916607127895932e-01 4.940916607127895932e-01
1.808000000000000000e+04 2.763847382550236979e-03 3.134206881070549042e-03 5.898054263620727475e-03 4.941019457363793332e-01 4.941019457363793332e-01
1.810000000000000000e+04 2.758261272009295863e-03 3.129541269936605193e-03 5.887802541945842509e-03 4.941121974580541809e-01 4.941121974580541809e-01
1.812000000000000000e+04 2.752696006473376311e-03 3.124887957825022659e-03 5.877583964298340423e-03 4.941224160357016726e-01 4.941224160357016726e-01
1.814000000000000000e+04 2.747151522041248965e-03 3.120246851672196439e-03 5.867398373713386857e-03 4.941326016262866383e-01 4.941326016262866383e-01
1.816000000000000000e+04 2.741627754088917131e-03 3.115617860059918896e-03 5.857245614148777479e-03 4.941427543858512572e-01 4.941427543858512572e-01
1.818000000000000000e+04 2.736124637269612449e-03 3.111000893215375412e-03 5.847125530484929314e-03 4.941528744695151132e-01 4.941528744695151132e-01
1.820000000000000000e+04 2.730642105513798792e-03 3.106395863011148731e-03 5.837037968524889410e-03 4.941629620314751392e-01 4.941629620314751392e-01
1.822000000000000000e+04 2.725180092029169665e-03 3.101802682965215056e-03 5.826982774994326174e-03 4.941730172250057285e-01 4.941730172250057285e-01
1.824000000000000000e+04 2.719738529300648206e-03 3.097221268240945777e-03 5.816959797541535436e-03 4.941830402024585123e-01 4.941830402024585123e-01
1.826000000000000000e+04 2.714317349090389787e-03 3.092651535647108346e-03 5.806968884737439586e-03 4.941930311152625821e-01 4.941930311152625821e-01
1.828000000000000000e+04 2.708916482437778543e-03 3.088093403637864540e-03 5.797009886075584102e-03 4.942029901139244341e-01 4.942029901139244341e-01
1.830000000000000000e+04 2.703535859659429545e-03 3.083546792312771758e-03 5.787082651972142756e-03 4.942129173480279136e-01 4.942129173480279136e-01
1.832000000000000000e+04 2.698175410349189663e-03 3.079011623416782160e-03 5.777187033765913277e-03 4.942228129662341041e-01 4.942228129662341041e-01
